question,answer,type
Determine the products formed when the reactants C1CCOC1.CC(=O)[O-].CC(=O)[O-].CCOC(C)=O.COc1cccc([Mg+])c1.O.O=C1c2ccc(OS(=O)(=O)C(F)(F)F)cc2C(=O)N1Cc1cccnc1.[Br-].[Cl-].[Cl-].[Pd+2].[Zn+2] undergo reaction.,COc1cccc(-c2ccc3c(c2)C(=O)N(Cc2cccnc2)C3=O)c1,forward
"Reactants: C1CCOC1.CC(C)(C)[O-].O=C(Cl)c1cccc([N+](=O)[O-])c1.[K+]
Products:",CC(C)(C)OC(=O)c1cccc([N+](=O)[O-])c1,forward
"From the reaction defined solely by the reactants CCOC(=O)C(C)(C)Oc1ccc(O)cc1C.FC(F)(F)c1ccc(-c2cc(C(F)(F)F)c(CCl)cn2)cc1, predict the products.",CCOC(=O)C(C)(C)Oc1ccc(OCc2cnc(-c3ccc(C(F)(F)F)cc3)cc2C(F)(F)F)cc1C,forward
"Based on the listed reactants (Brc1nccs1.C1CCOC1.CC(C)(O)CCO.CCc1c(Cn2ccnc2-c2nccs2)nc2ccc(Cl)nn12), predict the products of the reaction.",CCc1c(Cn2ccnc2-c2nccs2)nc2ccc(OCCC(C)(C)O)nn12,forward
"Given the following reactants:
CN(C)C=O.COc1cccc(N)c1.Cc1nc(CCl)cs1.Cl.O=C([O-])[O-].[K+].[K+]
Predict the reaction products.",COc1cccc(NCc2csc(C)n2)c1,forward
"Reactants: CC1CCC(N(C(=O)Nc2ncc(C=O)s2)C2CCCCC2)CC1.CCS(=O)(=O)N1CCNCC1.Cl
Products:",CCS(=O)(=O)N1CCN(Cc2cnc(NC(=O)N(C3CCCCC3)C3CCC(C)CC3)s2)CC1,forward
What are the expected reaction products from the reactants C1CCOC1.CN(C)C=O.Cl.O=C(O)c1ccc(-c2ccc(Cl)cc2)s1.[Li]CCCC?,O=Cc1cc(-c2ccc(Cl)cc2)sc1C(=O)O,forward
"Given the following reactants:
CC(C)(C)OC(=O)NC1CCN(CCN2C(=O)COc3ccc(Br)cc32)CC1.N#Cc1ccc2ccc(=O)n(CCN3CCC(N)CC3)c2c1
Predict the reaction products.",NC1CCN(CCN2C(=O)COc3ccc(Br)cc32)CC1,forward
"Using the given reaction specification:
Reactants: COC(=O)CC(C)(O)CC(N)=O.O.[Na+].[OH-]
Identify the products.",CC(O)(CC(N)=O)CC(=O)O,forward
Consider the chemical reaction involving the reactants CN(C)C=O.O=C([O-])[O-].O=[N+]([O-])c1cc(Br)ccc1F.Oc1ccccc1.[K+].[K+]. What products are formed?,O=[N+]([O-])c1cc(Br)ccc1Oc1ccccc1,forward
What are the expected reaction products from the reactants C=C1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C3OC132.CC(=O)O.O.O=S(=O)(O)O?,C=C1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C(O)=C12,forward
"Using the given reaction specification:
Reactants: CCOC(=O)C=Cc1cc2cc(C#N)ccc2[nH]1.CCOC(C)=O.CO
Identify the products.",CCOC(=O)CCc1cc2cc(C#N)ccc2[nH]1,forward
"Given the following reactants:
C1CCOC1.CO.COC(=O)c1ccc(C(C)(C)Oc2ccc3c(c2)C(c2ccccc2)=CC3)cc1.[Na+].[OH-]
Predict the reaction products.",CC(C)(Oc1ccc2c(c1)C(c1ccccc1)=CC2)c1ccc(C(=O)O)cc1,forward
"For the reaction starting from reactants CCOC(=O)c1c(O)nc2cc(C(F)(F)F)ccc2c1C.ClCCl.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F, determine the resulting products.",CCOC(=O)c1c(OS(=O)(=O)C(F)(F)F)nc2cc(C(F)(F)F)ccc2c1C,forward
"Reactants: C1CCOC1.CC1(C)CCNC1=O.C[Si](C)(C)[N-][Si](C)(C)C.O=C(Cl)OCc1ccccc1.[Li+]
Products:",CC1(C)CCN(C(=O)OCc2ccccc2)C1=O,forward
Consider the chemical reaction involving the reactants CCOC(=O)CBr.CCOC(=O)c1ccc(C=Cc2ccc3c(c2)C(=O)CCC3(C)C)cc1.O=C1CCC2CC=CC=C2C1.[Zn].c1ccc2c(c1)CCCC2. What products are formed?,CCOC(=O)CC1(O)CCC(C)(C)c2ccc(C=Cc3ccc(C(=O)OCC)cc3)cc21,forward
"Reactants: CC1(C)NN(C2C3CC4CC(C3)CC2C4)C1=O.Fc1c(Cl)cccc1CBr
Products:",CC1(C)C(=O)N(C2C3CC4CC(C3)CC2C4)N1Cc1cccc(Cl)c1F,forward
Determine the products formed when the reactants CCc1cc(O)ccc1O.ClCCl.O=C(Cl)C12CC3CC(CC(C3)C1)C2.c1ccncc1 undergo reaction.,CCc1cc(OC(=O)C23CC4CC(CC(C4)C2)C3)ccc1O,forward
Consider the chemical reaction involving the reactants C1CCOC1.CC(C)CPc1ccccc1.Cc1cc(C)c(C(=O)Cl)c(C)c1.OO.[Li]CCCC. What products are formed?,Cc1cc(C)c(C(=O)P(=O)(CC(C)C)c2ccccc2)c(C)c1,forward
Consider the chemical reaction involving the reactants CO.COC(=O)c1cccc2c1C(O)CCC2.Cl. What products are formed?,COC(=O)c1cccc2c1C=CCC2,forward
"From the reaction defined solely by the reactants CC(=O)c1ccc2c(c1)NC(=O)CO2.CI.CN(C)C=O.O=C([O-])[O-].[Cs+].[Cs+], predict the products.",CC(=O)c1ccc2c(c1)N(C)C(=O)CO2,forward
Consider the chemical reaction involving the reactants CC(=O)c1cccc(C(F)(F)F)c1.CCO.CON.Cl.c1ccncc1. What products are formed?,CON=C(C)c1cccc(C(F)(F)F)c1,forward
Consider the chemical reaction involving the reactants CCCCCC(=O)c1cc(CCC(=O)OCC)ccc1OC.CCO.[BH4-].[Na+]. What products are formed?,CCCCCC(O)c1cc(CCC(=O)OCC)ccc1OC,forward
"In the chemical transformation where the reactants are C1CCOC1.CC(=O)Oc1ccc(C2=COc3ccccc3O2)cc1.CO.O=C([O-])[O-].[K+].[K+], what compounds are produced?",Oc1ccc(C2=COc3ccccc3O2)cc1,forward
Consider the chemical reaction involving the reactants COCCCOc1cc(C(=O)N(CC2CN(C(=O)OC(C)(C)C)CC2CN(C)C(=O)C2CC2)C(C)C)ccc1OC.ClCCl.O=C(O)C(F)(F)F.O=C([O-])O.[Na+]. What products are formed?,COCCCOc1cc(C(=O)N(CC2CNCC2CN(C)C(=O)C2CC2)C(C)C)ccc1OC,forward
What are the expected reaction products from the reactants CCO.COc1ccc([N+](=O)[O-])c(Cl)n1.NC(CO)CO?,COc1ccc([N+](=O)[O-])c(NC(CO)CO)n1,forward
"Reactants: NC1(c2ccccc2)CCC(=O)CC1.O=C(CNC(=O)c1cccc(C(F)(F)F)c1)NC1CNC1
Products:",NC1(c2ccccc2)CCC(N2CC(NC(=O)CNC(=O)c3cccc(C(F)(F)F)c3)C2)CC1,forward
Determine the products formed when the reactants C1COCCN1.CCN(CC)CC.ClCCl.N#Cc1cc(CBr)cc([N+](=O)[O-])c1 undergo reaction.,N#Cc1cc(CN2CCOCC2)cc([N+](=O)[O-])c1,forward
"For the reaction starting from reactants CC(C)(C)OC(=O)CC(=O)c1cccc(-n2cccn2)c1.CN(C)c1cc(NC(=O)OC(C)(C)C)c(N)cc1Cl, determine the resulting products.",CN(C)c1cc(NC(=O)OC(C)(C)C)c(NC(=O)CC(=O)c2cccc(-n3cccn3)c2)cc1Cl,forward
"Using the given reaction specification:
Reactants: CCO.CCOC(=O)C(NC(C)=O)C(=O)OCC.O=[N+]([O-])c1ccc(-c2ccc(CCl)o2)cc1.[Na]
Identify the products.",CCOC(=O)C(Cc1ccc(-c2ccc([N+](=O)[O-])cc2)o1)(NC(C)=O)C(=O)OCC,forward
"Reactants: CCCC[N+](CCCC)(CCCC)CCCC.ClCCl.O.O=S(=O)(Cl)c1ccccc1.O=S(=O)([O-])O.[Na+].[OH-].c1ccc(COc2ccc3[nH]ccc3c2)cc1
Products:",O=S(=O)(c1ccccc1)n1ccc2cc(OCc3ccccc3)ccc21,forward
"In the chemical transformation where the reactants are CC(C)NC(C)C.COC(=O)C(CO)NC(=O)OC(C)(C)C.CS(=O)(=O)Cl.ClCCl.Sc1ccccc1, what compounds are produced?",COC(=O)C(CSc1ccccc1)NC(=O)OC(C)(C)C,forward
"Reactants: CC(C)(C)[Si](C)(C)OC1CC(CC(=O)[O-])CC(OC2CCCCO2)C1.CO.O=C([O-])[O-].[K+].[K+]
Products:",CC(C)(C)[Si](C)(C)OC1CC(O)CC(OC2CCCCO2)C1,forward
"From the reaction defined solely by the reactants C1COCCO1.CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3nc(C4(O)CN(C(=O)OC(C)(C)C)C4)n(C)c3n2)cc1.CO.Cl.ClCCl.O=C(O)C(F)(F)F, predict the products.",CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3C)c3nc(C4(O)CNC4)n(C)c3n2)cc1,forward
"Reactants: CCOC(C)=O.CNC(=O)c1cccc([N+](=O)[O-])c1Br.Cc1ccccc1.Nc1cncc(F)c1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C([O-])[O-].[Cs+].[Cs+].[Pd].[Pd]
Products:",CNC(=O)c1cccc([N+](=O)[O-])c1Nc1cncc(F)c1,forward
"Based on the listed reactants (C1CCOC1.C=CCCCC.N#N), predict the products of the reaction.",CCCCC(C)C1CCCO1,forward
"For the reaction starting from reactants CC(C)(C)n1nc(C=O)cc1-c1ccc(Cl)cc1.NCCN1CCN(c2ccccc2F)CC1, determine the resulting products.",CC(C)(C)n1nc(CNCCN2CCN(c3ccccc3F)CC2)cc1-c1ccc(Cl)cc1,forward
What are the expected reaction products from the reactants CC(=O)O.CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(C=CC(=O)OC)cc2O)c1.CCOC(C)=O.CO?,CCCCCCCNC(=O)N(C)c1cccc(-c2ccc(CCC(=O)OC)cc2O)c1,forward
"Using the given reaction specification:
Reactants: CC(C)=CCCC(C)=CCN(C(=O)c1ccccc1[N+](=O)[O-])c1ccc(N(C)C)cc1.CCO.Cl.[Fe]
Identify the products.",CC(C)=CCCC(C)=CCN(C(=O)c1ccccc1N)c1ccc(N(C)C)cc1,forward
What are the expected reaction products from the reactants COc1cc(CBr)cc(OC)c1OC.Cc1ccccc1.c1ccc([PH+](c2ccccc2)c2ccccc2)cc1?,COc1cc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc(OC)c1OC.[Br-],forward
"Based on the listed reactants (BrCc1ccccc1.CN(C)C=O.COC(=O)c1ccc(O)cc1.O.O=C([O-])[O-].[K+].[K+]), predict the products of the reaction.",COC(=O)c1ccc(OCc2ccccc2)cc1,forward
Consider the chemical reaction involving the reactants CC(=O)OC1CCC2(C)C(CCC3C2CC(=O)C2(C)C(C(C)CCC=O)CCC32)C1.CO.C[O-].Cl.[CH3].[Na+]. What products are formed?,CC(CCC=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CC(=O)C12C,forward
"Reactants: Cc1coc2cc(O)ccc2c1=O.O.O=S(=O)(OS(=O)(=O)C(F)(F)F)C(F)(F)F.c1ccncc1
Products:",Cc1coc2cc(OS(=O)(=O)C(F)(F)F)ccc2c1=O,forward
Consider the chemical reaction involving the reactants C1COCCO1.CCCC(=O)Nc1nn(COCC[Si](C)(C)C)c2cc(B3OC(C)(C)C(C)(C)O3)ccc12.CCOC(C)=O.O.O=C([O-])[O-].O=[N+]([O-])c1ccc(Br)cc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1. What products are formed?,CCCC(=O)Nc1nn(COCC[Si](C)(C)C)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc12,forward
"From the reaction defined solely by the reactants O=S(=O)(Nc1cccc(-c2nc(C3CCOCC3)sc2-c2ccnc(Cl)n2)c1Cl)c1cc(F)ccc1F.[NH4+].[OH-], predict the products.",Nc1nccc(-c2sc(C3CCOCC3)nc2-c2cccc(NS(=O)(=O)c3cc(F)ccc3F)c2Cl)n1,forward
"Using the given reaction specification:
Reactants: Br.Br.CCC(=O)c1cnc(Cl)cc1C.O=C([O-])[O-].[Na+].[Na+]
Identify the products.",Cc1cc(Cl)ncc1C(=O)C(C)Br,forward
Determine the products formed when the reactants Br.BrCc1ccccn1.COC(=O)c1ccc(O)cc1F undergo reaction.,COC(=O)c1ccc(OCc2ccccn2)cc1F,forward
"Given the following reactants:
CC(=O)[O-].CC(=O)[O-].CC1=CCC(C(C)C)CC1.FC(F)(F)c1ccccc1.O.O.O.O=C(C(F)(F)F)C(F)(F)F.O=C1c2ccccc2C(=O)N1O.OC(c1ccccc1)c1ccccc1.[Co+2]
Predict the reaction products.",CC(C)C1CCC2(C)OC2C1,forward
"Using the given reaction specification:
Reactants: C1CCOC1.CC(C)(C)OC(=O)N1CCNCC1.CCN(CC)CC.CCOC(C)=O.O=S(=O)(Cl)C(F)(F)F
Identify the products.",CC(C)(C)OC(=O)N1CCN(S(=O)(=O)C(F)(F)F)CC1,forward
"Based on the listed reactants (CC(=O)O.CC(C)(C)[N+](=O)[O-].CCO.O=Cc1cn[nH]c1.[Zn]), predict the products of the reaction.",CC(C)(C)[N+]([O-])=Cc1cn[nH]c1,forward
Determine the products formed when the reactants C1CCOC1.CC(C)(C)[O-].CN(C)C=O.ClC(Cl)Cl.O=[N+]([O-])c1ccc(-c2ccc(Cl)cc2)cc1.[K+] undergo reaction.,O=[N+]([O-])c1ccc(-c2ccc(Cl)cc2)cc1C(Cl)Cl,forward
"Given the following reactants:
CCOC(C)=O.COCCOC.Nc1ncc(F)cc1Br.O.O=C([O-])[O-].OB(O)c1ccc(OC2CCCCC2)nc1.[Na+].[Na+].c1ccc([PH](c2ccccc2)(c2ccccc2)[Pd]([PH](c2ccccc2)(c2ccccc2)c2ccccc2)([PH](c2ccccc2)(c2ccccc2)c2ccccc2)[PH](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Predict the reaction products.",Nc1ncc(F)cc1-c1ccc(OC2CCCCC2)nc1,forward
What are the expected reaction products from the reactants CN(C)c1ccncc1.Cc1cc2cnn(CCO[Si](C)(C)C(C)(C)C)c2cc1N.Cl.O=C1CC(c2ccc(F)cc2)C(C(=O)O)=CN1.[Cl-].c1ccncc1?,Cc1cc2cnn(CCO[Si](C)(C)C(C)(C)C)c2cc1NC(=O)C1=CNC(=O)CC1c1ccc(F)cc1,forward
"Based on the listed reactants (CC(C)=O.CI.OCc1cccc2[nH]c(-c3ccc(C(F)(F)F)cc3)nc12.[K+].[OH-]), predict the products of the reaction.",Cn1c(-c2ccc(C(F)(F)F)cc2)nc2c(CO)cccc21,forward
"Reactants: CCN(C(C)C)C(C)C.CN(C)C=O.CNCC(O)c1ncccn1.Cc1c(CCl)sc2c(=O)c(C(=O)NCc3ccc(F)cc3)cn(C)c12.Cl.Cl.O
Products:",Cc1c(CN(C)CC(O)c2ncccn2)sc2c(=O)c(C(=O)NCc3ccc(F)cc3)cn(C)c12,forward
"From the reaction defined solely by the reactants CC(C)(C)c1ccccc1.CC(C)C(=O)Cl, predict the products.",CC(C)C(=O)c1ccc(C(C)(C)C)cc1,forward
What are the expected reaction products from the reactants C1CCOC1.CC(C)(C)c1ccc(S(=O)(=O)Cl)cc1.CO.Cc1noc(N)c1Br.Cl.O.[H-].[Na+]?,Cc1noc(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)c1Br,forward
Determine the products formed when the reactants CCN(CC)CC.Cl.Cl.ClCCl.Fc1ccc(SC2CCNCC2)cc1.O=C(Cl)c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1 undergo reaction.,O=C(c1ccc(Nc2ccnc3cc(C(F)(F)F)ccc23)cc1)N1CCC(Sc2ccc(F)cc2)CC1,forward
"Given the following reactants:
CCN(CC)CC.CS(C)=O.ClCCl.O.O=C(Cl)C(=O)Cl.O=c1cc(Cl)c2ccc(C(F)(F)F)cc2n1CCO
Predict the reaction products.",O=CCn1c(=O)cc(Cl)c2ccc(C(F)(F)F)cc21,forward
"Based on the listed reactants (CC(=O)N(C)C.CC(C)(C)[O-].CC1(C)c2cccc(P(c3ccccc3)c3ccccc3)c2Oc2c(P(c3ccccc3)c3ccccc3)cccc21.Cc1cc(N)n(-c2ccccc2)n1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=C(C=Cc1ccccc1)C=Cc1ccccc1.O=S(=O)(Nc1nccs1)c1ccc(Br)cn1.[Na+].[Pd].[Pd]), predict the products of the reaction.",Cc1cc(Nc2ccc(S(=O)(=O)Nc3nccs3)nc2)n(-c2ccccc2)n1,forward
Determine the products formed when the reactants C=CC(=O)OC.COC(=O)c1ccco1 undergo reaction.,COC(=O)C=Cc1ccc(C(=O)OC)o1,forward
What are the expected reaction products from the reactants CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CCCCCCC=O.CN(C)c1ccc(N)cc1.ClCCl.O=C([O-])O.[Na+]?,CCCCCCCNc1ccc(N(C)C)cc1,forward
"Given the following reactants:
CCCCn1c(=O)c2cc(C(=O)OCC)cn2c2cc(Cl)ccc21.CCO
Predict the reaction products.",CCCCn1c(=O)c2cc(C(=O)O)cn2c2cc(Cl)ccc21,forward
"Using the given reaction specification:
Reactants: COc1c(F)cc(-c2ccc(C(F)(F)F)cc2)cc1C=O.O.O=[Cr](=O)([O-])O[Cr](=O)(=O)[O-].c1cc[nH+]cc1.c1cc[nH+]cc1
Identify the products.",COc1c(F)cc(-c2ccc(C(F)(F)F)cc2)cc1C(=O)O,forward
"From the reaction defined solely by the reactants COC(=O)C(Br)c1ccc(Sc2ccc(Cl)cc2)cc1.Oc1ccc(Cl)cc1, predict the products.",COC(=O)C(Oc1ccc(Cl)cc1)c1ccc(Sc2ccc(Cl)cc2)cc1,forward
"Given the following reactants:
COC(=O)c1cc(=O)n(CC2OCCO2)c2cc(OC)ccc12.O=C(O)C(F)(F)F
Predict the reaction products.",COC(=O)c1cc(=O)n(CC=O)c2cc(OC)ccc12,forward
"In the chemical transformation where the reactants are C=C1CC(=O)O1.CCN(CC)CC.C[Si](C)(C)CCO, what compounds are produced?",CC(=O)CC(=O)OCC[Si](C)(C)C,forward
"Given the following reactants:
CCN(CC)CC.CN(Cc1ccccc1)C(=O)C(N)c1ccccc1.CS(=O)(=O)O.Cl.Cl.ClCCl.Cn1c(C(=O)O)cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc21.O.On1nnc2ccccc21.[Na]
Predict the reaction products.",CN(Cc1ccccc1)C(=O)C(NC(=O)c1cc2cc(NC(=O)c3ccccc3-c3ccc(C(F)(F)F)cc3)ccc2n1C)c1ccccc1,forward
"Reactants: CC(=O)O.CC(=O)O[BH-](OC(C)=O)OC(C)=O.CC(C)S(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4csc(C=O)c4)cc23)CC1.CS(C)=O.OCC1CCCN1.[Na+]
Products:",CC(C)S(=O)(=O)N1CCC(c2c[nH]c3c(C(N)=O)cc(-c4csc(CN5CCCC5CO)c4)cc23)CC1,forward
"From the reaction defined solely by the reactants CC#N.O.O.O.O=C(C(F)(F)F)C(F)(F)F.c1cc(CNc2nccs2)ccn1.c1ccccc1, predict the products.",OC(c1cnc(NCc2ccncc2)s1)(C(F)(F)F)C(F)(F)F,forward
"Given the following reactants:
BrCCCCCCOCc1ccccc1.COc1cc(N)c(Cl)cc1C(=O)NCC1CCNCC1.Cl.Cl
Predict the reaction products.",COc1cc(N)c(Cl)cc1C(=O)NCC1CCN(CCCCCCOCc2ccccc2)CC1,forward
"In the chemical transformation where the reactants are CCOC(=O)Cc1csc(N)n1.COc1cc(C)ccc1S(=O)(=O)Cl, what compounds are produced?",CCOC(=O)Cc1csc(NS(=O)(=O)c2ccc(C)cc2OC)n1,forward
Consider the chemical reaction involving the reactants C1CCOC1.CC(Br)(CC(Cl)(Cl)Cl)c1cc(Cl)nc(Cl)c1.CC1(C)CCCC(C)(C)N1.CCCCCC.[Li]CCCC. What products are formed?,C=C(CC(Cl)(Cl)Cl)c1cc(Cl)nc(Cl)c1,forward
"Using the given reaction specification:
Reactants: CCC(N)C(=O)OCC(C)C.O=C(O)Cc1ccc(Cl)cc1Cl
Identify the products.",CCC(NC(=O)Cc1ccc(Cl)cc1Cl)C(=O)OCC(C)C,forward
Consider the chemical reaction involving the reactants C1CCOC1.CCN(CC)CC.CS(=O)(=O)Cl.NC1CCCc2ccc([N+](=O)[O-])cc21.O. What products are formed?,CS(=O)(=O)NC1CCCc2ccc([N+](=O)[O-])cc21,forward
"Reactants: CC(C)=O.CSCc1cn(C)c2ccccc2c1=O.ClCCl.O=C(OO)c1cccc(Cl)c1
Products:",Cn1cc(CS(C)=O)c(=O)c2ccccc21,forward
"Based on the listed reactants (CC(C)(C)[O-].CS(C)=O.O=C(CBr)C1CC1.O=C([O-])[O-].Oc1ccc(Br)cc1.[K+].[K+].[K+]), predict the products of the reaction.",O=C(COc1ccc(Br)cc1)C1CC1,forward
"Using the given reaction specification:
Reactants: C(=NC1CCCCC1)=NC1CCCCC1.CC(C)(C)OC(=O)N1CCC(C(=O)O)(c2ccccc2)CC1.CC(O)c1cc(Br)cc(C(F)(F)F)c1.CN(C)c1ccccn1.Cc1ccccc1.ClCCl
Identify the products.",CC(OC(=O)C1(c2ccccc2)CCN(C(=O)OC(C)(C)C)CC1)c1cc(Br)cc(C(F)(F)F)c1,forward
"In the chemical transformation where the reactants are COc1cc2nccc(Oc3ccc4c(C(=O)O)cccc4c3)c2cc1OC.NCc1ccc(C(=O)Nc2ccccc2N)cc1, what compounds are produced?",COc1cc2nccc(Oc3ccc4c(C(=O)NCc5ccc(C(=O)Nc6ccccc6N)cc5)cccc4c3)c2cc1OC,forward
Determine the products formed when the reactants COc1ccc(C(O)CNCc2cccc(C)c2)cc1OC.O=C(O)C(F)(F)F.O=S(=O)(O)O undergo reaction.,COc1ccc(C2CNCc3cc(C)ccc32)cc1OC,forward
"Reactants: CC(C)(C)OC(=O)NC1(c2ccc(-c3c(-c4ccccc4)oc4ccc(F)cc4c3=O)cc2)CCC1.COc1cc2oc(-c3ccccc3)c(I)c(=O)c2cc1C
Products:",COc1cc2oc(-c3ccccc3)c(-c3ccc(C4(NC(=O)OC(C)(C)C)CCC4)cc3)c(=O)c2cc1C,forward
"Reactants: BrCc1ccccc1.CCOC(=O)c1nc2ccccc2[nH]c1=O.CN(C)C=O.O.[H-].[Na+]
Products:",CCOC(=O)c1nc2ccccc2n(Cc2ccccc2)c1=O,forward
"For the reaction starting from reactants CC(=O)O.CCOC(=O)c1cc(O)cc(C(=O)OCC)c1.O, determine the resulting products.",CCOC(=O)c1cc(C=O)cc(C(=O)OCC)c1,forward
"Using the given reaction specification:
Reactants: CC(=O)O.CC(=O)[O-].CC(=O)c1ccc(C)cc1.CCOC(=O)CC#N.CCOC(C)=O.[NH4+].c1ccccc1
Identify the products.",CCOC(=O)C(C#N)=C(C)c1ccc(C)cc1,forward
"From the reaction defined solely by the reactants C1CCOC1.CCOC(C)=O.O=C1CCC(=O)N1Br.O=S(=O)(O)O.[Cl-].[NH4+].c1cnc2[nH]ccc2c1, predict the products.",Brc1c[nH]c2ncccc12,forward
"Using the given reaction specification:
Reactants: CC(C)NO.O=Cc1ccc2c(c1)OCCO2
Identify the products.",CC(C)[N+]([O-])=Cc1ccc2c(c1)OCCO2,forward
"From the reaction defined solely by the reactants CO.Cc1ccc2nc(-c3ccc(C#N)cc3)cn2c1.O=S(=O)(O)O.c1ccccc1, predict the products.",Cc1ccc2nc(-c3ccc(C=O)cc3)cn2c1,forward
"Based on the listed reactants (CC(=O)c1cc(Oc2ccccc2)c(NS(C)(=O)=O)cc1OCc1ccccc1.CCOC(=O)OCC.O.[H-].[Na+]), predict the products of the reaction.",CCOC(=O)CC(=O)c1cc(Oc2ccccc2)c(NS(C)(=O)=O)cc1OCc1ccccc1,forward
"Reactants: Cc1nn(-c2ccc(CCNC(=O)Oc3ccccc3)cc2)c(C)c1-c1cccc(C(N)=O)c1.NS(=O)(=O)c1ccc(F)cc1F
Products:",Cc1nn(-c2ccc(CCNC(=O)NS(=O)(=O)c3ccc(F)cc3F)cc2)c(C)c1-c1cccc(C(N)=O)c1,forward
"Using the given reaction specification:
Reactants: CCOC(=O)C1CCN(CC(C)Cc2ccc(C(C)(C)C)cc2)CC1.CCOCC.O
Identify the products.",CC(Cc1ccc(C(C)(C)C)cc1)CN1CCC(CO)CC1,forward
"Given the following reactants:
CC(=O)[O-].CO.Cl.NO.O=C1CCCCC1S(=O)(=O)N1CCN(c2ccc(F)cc2)CC1.[K+]
Predict the reaction products.",O=S(=O)(C1CCCCC1=NO)N1CCN(c2ccc(F)cc2)CC1,forward
Determine the products formed when the reactants CC(=O)Oc1cccc(C(=O)Cl)c1C.CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(N)CSc1ccccc1.CCOC(C)=O.O.O=C([O-])O.[Na+] undergo reaction.,CC(=O)Oc1cccc(C(=O)NC(CSc2ccccc2)C(O)CN2CC3CCCCC3CC2C(=O)NC(C)(C)C)c1C,forward
"Using the given reaction specification:
Reactants: CCN(C(C)C)C(C)C.CN(C)C=O.Cl.FC(F)(F)c1nnc2ccc(Cl)nn12.O.O=C1CCNCC1
Identify the products.",O=C1CCN(c2ccc3nnc(C(F)(F)F)n3n2)CC1,forward
What are the expected reaction products from the reactants CO.Cl.N#CCc1nc2cnc(Br)cc2n1-c1ccccc1.O=N[O-].[Na+]?,N#CC(=NO)c1nc2cnc(Br)cc2n1-c1ccccc1,forward
Determine the products formed when the reactants CN(C(=O)OC(C)(C)C)c1cc(Cl)ccc1[N+](=O)[O-].CN(C)C=O.COc1ccc(O)cc1.[H-].[Na+] undergo reaction.,COc1ccc(Oc2ccc([N+](=O)[O-])c(N(C)C(=O)OC(C)(C)C)c2)cc1,forward
